SNR: 2.01606779928302, Noise Level: 0.35
SNR: 3.8047081513092786, Noise Level: 0.3
SNR: 4.793624819286782, Noise Level: 0.25
SNR: 6.06547676307808, Noise Level: 0.2
SNR: 9.239848445336225, Noise Level: 0.15000000000000002
SNR: 13.69754107165707, Noise Level: 0.10000000000000003
SNR: 19.571022755926965, Noise Level: 0.050000000000000044
SNR: 79.76949126267695, Noise Level: 5.551115123125783e-17
SNR: 19.571022755926965, Noise Level: 0.050000000000000044
SNR: 79.76949126267695, Noise Level: 5.551115123125783e-17
SNR: 13.69754107165707, Noise Level: 0.10000000000000003
