SNR: 1.0616826460078193, Noise Level: 0.35
SNR: 2.8717343510623494, Noise Level: 0.3
SNR: 4.922199425753851, Noise Level: 0.25
SNR: 7.422474448340052, Noise Level: 0.2
SNR: 10.471630992954598, Noise Level: 0.15000000000000002
SNR: 14.44114863901212, Noise Level: 0.10000000000000003
SNR: 20.884330783730345, Noise Level: 0.050000000000000044
SNR: 76.54216648121336, Noise Level: 5.551115123125783e-17
SNR: 76.54216648121336, Noise Level: 5.551115123125783e-17
SNR: 14.44114863901212, Noise Level: 0.10000000000000003
SNR: 20.884330783730345, Noise Level: 0.050000000000000044
