SNR: 0.41502104538048723, Noise Level: 0.35
SNR: 1.6639814269682172, Noise Level: 0.3
SNR: 3.2471794255210824, Noise Level: 0.25
SNR: 5.065896522403789, Noise Level: 0.2
SNR: 7.170587717787564, Noise Level: 0.15000000000000002
SNR: 11.31125100716189, Noise Level: 0.10000000000000003
SNR: 18.27702326555482, Noise Level: 0.050000000000000044
SNR: 79.19486586282567, Noise Level: 5.551115123125783e-17
SNR: 11.31125100716189, Noise Level: 0.10000000000000003
SNR: 18.27702326555482, Noise Level: 0.050000000000000044
SNR: 79.19486586282567, Noise Level: 5.551115123125783e-17
