SNR: 2.449008774604115, Noise Level: 0.35
SNR: 3.6802285592867974, Noise Level: 0.3
SNR: 5.13562313017465, Noise Level: 0.25
SNR: 7.329517904483049, Noise Level: 0.2
SNR: 10.072264299174066, Noise Level: 0.15000000000000002
SNR: 13.343666458528656, Noise Level: 0.10000000000000003
SNR: 19.272271828828487, Noise Level: 0.050000000000000044
SNR: 81.5073362272541, Noise Level: 5.551115123125783e-17
SNR: 81.5073362272541, Noise Level: 5.551115123125783e-17
SNR: 13.343666458528656, Noise Level: 0.10000000000000003
SNR: 19.272271828828487, Noise Level: 0.050000000000000044
