SNR: 2.0865775550646224, Noise Level: 0.35
SNR: 2.9186569658723602, Noise Level: 0.3
SNR: 4.005181162861534, Noise Level: 0.25
SNR: 5.495326472612532, Noise Level: 0.2
SNR: 7.6951947158969425, Noise Level: 0.15000000000000002
SNR: 10.999932465819564, Noise Level: 0.10000000000000003
SNR: 17.214462350206695, Noise Level: 0.050000000000000044
SNR: 86.80288735421013, Noise Level: 5.551115123125783e-17
SNR: 17.214462350206695, Noise Level: 0.050000000000000044
SNR: 86.80288735421013, Noise Level: 5.551115123125783e-17
SNR: 10.999932465819564, Noise Level: 0.10000000000000003
