SNR: 0.2537125401933795, Noise Level: 0.35
SNR: 1.6423770119744818, Noise Level: 0.3
SNR: 3.313265667214086, Noise Level: 0.25
SNR: 5.362608303533851, Noise Level: 0.2
SNR: 7.993764725884204, Noise Level: 0.15000000000000002
SNR: 11.65947044828797, Noise Level: 0.10000000000000003
SNR: 17.776113140773766, Noise Level: 0.050000000000000044
SNR: 77.32535311000576, Noise Level: 5.551115123125783e-17
SNR: 77.32535311000576, Noise Level: 5.551115123125783e-17
SNR: 11.65947044828797, Noise Level: 0.10000000000000003
SNR: 17.776113140773766, Noise Level: 0.050000000000000044
