SNR: -1.149005945003069, Noise Level: 0.35
SNR: 0.6827128793379657, Noise Level: 0.3
SNR: 2.7088422079435737, Noise Level: 0.25
SNR: 5.30862016121338, Noise Level: 0.2
SNR: 8.422253655977347, Noise Level: 0.15000000000000002
SNR: 12.518548607309972, Noise Level: 0.10000000000000003
SNR: 19.079020192311056, Noise Level: 0.050000000000000044
SNR: 73.13640534836325, Noise Level: 5.551115123125783e-17
SNR: 19.079020192311056, Noise Level: 0.050000000000000044
SNR: 12.518548607309972, Noise Level: 0.10000000000000003
SNR: 73.13640534836325, Noise Level: 5.551115123125783e-17
